year,water level (m)
1984.75,294.787
1985.11,295.009
1985.72,294.362
1986.20,294.805
1986.59,294.222
1986.92,294.560
1987.10,295.184
1987.39,295.020
1987.86,295.889
1988.30,296.105
1988.73,296.140
1989.09,296.140
1989.24,296.233
1989.86,296.367
1990.43,296.466
1990.83,296.525
1991.27,296.542
1991.96,296.548
1992.50,296.571
1992.90,296.513
1993.62,296.577
1994.24,296.367
1994.82,296.554
1995.18,296.583
1995.62,296.472
1995.98,296.682
1996.30,296.671
1996.88,296.869
1997.39,296.665
1997.72,296.787
1998.33,296.816
1998.77,297.207
1999.09,297.026
1999.71,297.190
2000,297.155
2000.94,296.875
2001.16,296.880
2001.52,297.050
2001.85,297.050
2002.21,296.694
2002.50,297.160
2002.75,297.376
2003.30,297.452
2003.80,297.289
2004.31,297.195
2004.67,297.417
2005.11,297.364
2005.62,297.306
2005.76,297.032
2006.09,297.254
2006.70,297.254
2007.39,297.149
2007.79,297.224
2008.44,297.155
2008.99,297.224
2009.42,297.155
2009.86,297.230
2010.22,297.166
2010.87,297.213
2011.27,297.055
2011.88,296.950
2012.79,296.939
2013.95,296.950
