year,production rate (tonnes/day)
1950.51,66.5399
1951.73,199.620
1952.94,465.779
1953.90,731.939
1955.30,998.099
1956.46,1463.88
1957.54,1863.12
1958.50,2328.90
1961.57,2395.44
1962.59,3526.62
1963.42,4923.95
1964.44,6055.13
1965.53,7785.17
1966.49,10912.5
1970.64,10979.1
1971.41,11245.2
1972.50,12176.8
1973.52,13374.5
1977.10,16501.9
1977.55,17034.2
1979.66,17100.8
1980.68,20294.7
1981.77,23222.4
1982.98,26482.9
1984.07,28412.5
1984.90,29809.9
1985.54,31140.7
1986.43,30275.7
1987.58,26017.1
1988.41,10712.9
1989.63,10247.1
1991.48,10846.0
1992.25,10446.8
1997.30,10047.5
2001.71,10047.5
2005.48,9980.99
2006.37,9648.29
2014.11,9714.83
